index2,brewery_name,address,city,state,zip_code,api_address
0,Typhoon Brewery,22 E. 54th St. (@ Madison),New York,NY,10022,"22+E.+54th+St.+(@+Madison),New+York,NY,10022"
1,The Riverosa Company,101 W. 75th St. Suite 5B,New York,NY,10023,"101+W.+75th+St.+Suite+5B,New+York,NY,10023"
2,Spring Street Brewing Company,113 University Place - 11th Floor,New York,NY,10003,"113+University+Place+-+11th+Floor,New+York,NY,10003"
3,Rheingold Brewing Company,130 West 42nd St.,New York,NY,10036,"130+West+42nd+St.,New+York,NY,10036"
4,Premier Beverages LLC,590 Madison Ave. 21st Fl.,New York,NY,10022,"590+Madison+Ave.+21st+Fl.,New+York,NY,10022"
5,New Amsterdam Brewing Co.,257 Park Ave. S.,New York,NY,10010,"257+Park+Ave.+S.,New+York,NY,10010"
6,Neptune Brewery,448 W. 16th St.,New York,NY,10011,"448+W.+16th+St.,New+York,NY,10011"
7,Nacho Mama's Brewery,42-42 Thompson St.,New York,NY,10013,"42-42+Thompson+St.,New+York,NY,10013"
8,Manhattan Brewing Co. Restaurant,40-42 Thompson St.,New York,NY,10013,"42-42+Thompson+St.,New+York,NY,10013"
9,John Street Bar & Grill,17 John St.,New York,NY,10038,"17+John+St.,New+York,NY,10038"
10,Heartland Brewery,35 Union Square West,New York,NY,10003,"35+Union+Square+West,New+York,NY,10003"
11,Harlem Brewing Co.,2214 Frederick Douglas Blvd. Ste.286,New York,NY,10026,"2214+Frederick+Douglas+Blvd.+Ste.286,New+York,NY,10026"
12,Hansens Times Square Brewery,160 W. 42nd St.,New York,NY,10036,"160+W.+42nd+St.,New+York,NY,10036"
13,Commonwealth Brewing Co.,10 Rockefeller Plaza (@48th St.),New York,NY,10020,"10+Rockefeller+Plaza+(@48th+St.),New+York,NY,10020"
14,Chelsea Brewing Co.,59 Chelsea Piers,New York,NY,10011,"59+Chelsea+Piers,New+York,NY,10011"
15,Carnegie Hill Brewing Co.,1600 3rd Ave. (@ 90th St.),New York,NY,10028,"1600+3rd+Ave.+(@+90th+St.),New+York,NY,10028"
16,Adirondack Pub & Brewery,212 W. 79th St.,New York,NY,10024,"212+W.+79th+St.,New+York,NY,10024"
